value_bet,edge,side,event_name,timestamp,team,point,token_id,true_prob,polymarket_best_ask,expected_payout_per_1
moneyline,0.033204,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T07:34:14.912964+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.361621,0.350000,1.033204
moneyline,0.033204,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T07:36:02.732887+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.361621,0.350000,1.033204
moneyline,0.033204,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T07:37:57.033596+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.361621,0.350000,1.033204
moneyline,0.033204,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T07:39:44.410152+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.361621,0.350000,1.033204
moneyline,0.033204,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T07:41:31.405942+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.361621,0.350000,1.033204
moneyline,0.033204,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T07:43:20.682249+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.361621,0.350000,1.033204
moneyline,0.033204,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T07:45:13.144707+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.361621,0.350000,1.033204
moneyline,0.033204,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T07:47:01.768231+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.361621,0.350000,1.033204
moneyline,0.033204,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T07:48:49.471265+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.361621,0.350000,1.033204
moneyline,0.033204,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T07:50:36.238806+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.361621,0.350000,1.033204
moneyline,0.033204,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T07:52:23.049797+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.361621,0.350000,1.033204
moneyline,0.033204,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T07:54:13.962647+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.361621,0.350000,1.033204
moneyline,0.033204,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T07:56:01.242419+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.361621,0.350000,1.033204
moneyline,0.033204,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T07:57:49.608462+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.361621,0.350000,1.033204
moneyline,0.033204,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T07:59:38.612828+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.361621,0.350000,1.033204
moneyline,0.033204,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T08:01:29.320936+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.361621,0.350000,1.033204
moneyline,0.033204,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T08:03:17.459819+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.361621,0.350000,1.033204
moneyline,0.033204,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T08:05:04.827263+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.361621,0.350000,1.033204
moneyline,0.033204,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T08:06:52.033518+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.361621,0.350000,1.033204
moneyline,0.025998,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T10:06:07.665259+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.359099,0.350000,1.025998
moneyline,0.025998,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T10:07:58.824728+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.359099,0.350000,1.025998
moneyline,0.028809,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T10:28:16.398770+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.349795,0.340000,1.028809
moneyline,0.028809,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T10:30:06.611707+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.349795,0.340000,1.028809
moneyline,0.028809,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T10:31:56.649365+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.349795,0.340000,1.028809
moneyline,0.028809,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T10:33:45.941717+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.349795,0.340000,1.028809
moneyline,0.028809,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T10:35:37.941608+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.349795,0.340000,1.028809
moneyline,0.028809,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T10:37:27.175869+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.349795,0.340000,1.028809
moneyline,0.028809,BUY,Memphis Grizzlies @ Orlando Magic,2026-01-15T10:39:16.783123+00:00,Grizzlies,,98844032922437319101394911737945314491718137070365695174573936531276822293943,0.349795,0.340000,1.028809
